nwsli,date,time,high_F,low_F,precip,snow_inch,snowd_inch
MRAM5,2023-09-01,7:00 AM,79.0,54.0,0.00,0.00,0.00
OWAM5,2023-09-01,8:00 AM,81.0,58.0,0.00,0.00,0.00
ZMPM5,2023-09-01,,,,,,
WHTM5,2023-09-01,8:00 AM,85.0,61.0,0.00,0.00,0.00
WIDM5,2023-09-01,8:00 AM,78.0,53.0,0.00,0.00,0.00
LEIM5,2023-09-01,6:00 AM,77.0,55.0,0.00,0.00,0.00
LKFM5,2023-09-01,7:00 AM,79.0,58.0,0.00,0.00,0.00
RSRM5,2023-09-01,6:00 AM,,,0.00,0.00,0.00
RCEM5,2023-09-01,7:00 AM,79.0,61.0,0.00,0.00,0.00
STIM5,2023-09-01,8:00 AM,80.0,59.0,0.00,0.00,0.00
WLFM5,2023-09-01,7:00 AM,72.0,50.0,0.00,0.00,0.00
MLRM5,2023-09-01,7:00 AM,,,0.00,0.00,0.00
ISEM5,2023-09-01,,,,,,
FLDM5,2023-09-01,7:00 AM,78.0,55.0,T,0.00,0.00
MHNM5,2023-09-01,,,,,,
BDIM5,2023-09-01,6:00 AM,,,0.00,0.00,0.00
MABM5,2023-09-01,6:00 AM,76.0,38.0,0.00,0.00,0.00
TETM5,2023-09-01,8:00 AM,,,,0.00,0.00
MSCM5,2023-09-01,8:00 AM,79.0,54.0,0.00,0.00,0.00
WAAM5,2023-09-01,8:00 AM,84.0,61.0,0.12,0.00,0.00
HSTM5,2023-09-01,5:00 AM,81.0,60.0,0.00,0.00,0.00
ILGM5,2023-09-01,,,,,,
CLQM5,2023-09-01,8:00 AM,79.0,57.0,0.00,0.00,0.00
OTTM5,2023-09-01,5:00 AM,78.0,55.0,0.00,0.00,0.00
GRBM5,2023-09-01,,,,,,
BRVM5,2023-09-01,5:00 AM,87.0,64.0,0.35,0.00,0.00
ITAM5,2023-09-01,7:00 AM,81.0,60.0,0.00,0.00,0.00
HAWM5,2023-09-01,,,,0.00,,
SILM5,2023-09-01,7:00 AM,,,0.00,0.00,0.00
BGFM5,2023-09-01,8:00 AM,85.0,57.0,,0.00,0.00
SPTM5,2023-09-01,6:00 AM,79.0,59.0,0.00,0.00,0.00
SEBM5,2023-09-01,7:00 AM,82.0,59.0,0.00,0.00,0.00
GDPM5,2023-09-01,7:00 AM,69.0,50.0,0.00,0.00,0.00
BJIM5,2023-09-01,7:00 AM,64.0,64.0,0.00,0.00,0.00
GRPM5,2023-09-01,,,,,,
ORWM5,2023-09-01,,,,,,
AGGM5,2023-09-01,12:00 AM,87.0,58.0,0.00,,
CRNM5,2023-09-01,8:00 AM,87.0,63.0,0.00,0.00,0.00
COTM5,2023-09-01,8:00 AM,77.0,61.0,0.00,0.00,0.00
HOUM5,2023-09-01,,,,0.00,,
ERVM5,2023-09-01,6:00 AM,80.0,58.0,0.00,0.00,0.00
BRAM5,2023-09-01,7:00 AM,81.0,59.0,0.00,0.00,0.00
BENM5,2023-09-01,7:00 AM,83.0,62.0,0.00,0.00,0.00
MMLM5,2023-09-01,8:00 AM,84.0,66.0,0.00,0.00,0.00
FRBM5,2023-09-01,6:00 AM,,,0.00,0.00,0.00
WABM5,2023-09-01,6:00 AM,,,0.00,0.00,0.00
LNCM5,2023-09-01,6:00 AM,,,T,0.00,0.00
PTNM5,2023-09-01,8:00 AM,79.0,44.0,0.00,0.00,0.00
WSKM5,2023-09-01,8:00 AM,80.0,58.0,0.00,0.00,0.00
HENM5,2023-09-01,,,,0.00,,
HLLM5,2023-09-01,,84.0,59.0,0.00,0.00,0.00
GRDM5,2023-09-01,,,,0.00,,
WRIM5,2023-09-01,6:00 AM,77.0,55.0,0.00,0.00,0.00
SDYM5,2023-09-01,8:00 AM,78.0,61.0,0.00,0.00,0.00
SATM5,2023-09-01,7:00 PM,85.0,62.0,0.00,0.00,0.00
ELKM5,2023-09-01,7:00 AM,80.0,58.0,0.00,0.00,0.00
CANM5,2023-09-01,8:00 AM,85.0,66.0,0.00,0.00,0.00
STJM5,2023-09-01,8:00 AM,79.0,58.0,0.00,0.00,0.00
BAUM5,2023-09-01,3:00 PM,89.0,62.0,0.00,0.00,0.00
TOHM5,2023-09-01,7:00 AM,,,,,
GEOM5,2023-09-01,6:00 PM,91.0,60.0,0.00,0.00,0.00
DTRM5,2023-09-01,11:00 AM,88.0,60.0,0.00,0.00,0.00
FEDM5,2023-09-01,8:00 AM,78.0,61.0,0.00,0.00,0.00
GLWM5,2023-09-01,7:00 AM,80.0,62.0,0.00,0.00,0.00
JDNM5,2023-09-01,4:00 AM,79.0,57.0,0.00,0.00,0.00
BRCM5,2023-09-01,,,,,,
TCYM5,2023-09-01,8:00 AM,79.0,63.0,0.00,0.00,0.00
CMBM5,2023-09-01,8:00 AM,81.0,59.0,0.00,0.00,0.00
GRTM5,2023-09-01,11:00 PM,93.0,64.0,0.00,0.00,
LKWM5,2023-09-01,8:00 AM,80.0,67.0,0.00,0.00,0.00
LKBM5,2023-09-01,,,,,,
THRM5,2023-09-01,5:00 PM,88.0,62.0,0.00,0.00,0.00
RLWM5,2023-09-01,7:00 AM,88.0,60.0,,0.00,0.00
ALVM5,2023-09-01,,,,0.00,,
RIAM5,2023-09-01,8:00 AM,80.0,60.0,0.00,0.00,0.00
ADAM5,2023-09-01,6:00 AM,84.0,64.0,0.00,0.00,0.00
ADVM5,2023-09-01,5:00 AM,81.0,56.0,0.00,0.00,0.00
FORM5,2023-09-01,7:00 AM,82.0,56.0,0.00,0.00,0.00
BMBM5,2023-09-01,,,,,,
UMNM5,2023-09-01,8:00 AM,87.0,61.0,0.00,0.00,0.00
MWDM5,2023-09-01,6:00 AM,,,0.00,0.00,0.00
LSAM5,2023-09-01,6:00 AM,91.0,60.0,0.00,0.00,
ASTM5,2023-09-01,7:00 AM,80.0,57.0,0.00,0.00,0.00
KIMM5,2023-09-01,6:00 AM,77.0,60.0,0.00,0.00,0.00
MPXM5,2023-09-01,11:00 PM,87.0,61.0,0.06,0.00,0.00
ALXM5,2023-09-01,6:00 AM,,,0.00,0.00,
BLHM5,2023-09-01,,,,,,
ASNM5,2023-09-01,6:00 AM,80.0,57.0,0.00,0.00,0.00
PRPM5,2023-09-01,7:00 AM,81.0,58.0,0.00,0.00,0.00
WALM5,2023-09-01,,,,,,
DLNM5,2023-09-01,7:00 AM,80.0,62.0,0.00,0.00,0.00
DSLM5,2023-09-01,7:00 AM,83.0,56.0,0.00,0.00,0.00
LNGM5,2023-09-01,6:00 AM,78.0,61.0,0.00,0.00,0.00
ELVM5,2023-09-01,7:00 AM,78.0,,0.00,0.00,0.00
HOKM5,2023-09-01,7:00 AM,,,0.00,0.00,0.00
SNDM5,2023-09-01,12:00 AM,83.0,59.0,0.00,,
BSNM5,2023-09-01,8:00 AM,83.0,62.0,0.00,0.00,0.00
SPEM5,2023-09-01,7:00 AM,79.0,59.0,0.00,0.00,0.00
TLRM5,2023-09-01,,,,,,
BNDM5,2023-09-01,12:00 PM,79.0,60.0,0.00,0.00,0.00
MLNM5,2023-09-01,5:00 PM,88.0,63.0,0.00,0.00,0.00
VADM5,2023-09-01,2:00 PM,89.0,71.0,0.00,0.00,0.00
CLGM5,2023-09-01,6:00 PM,86.0,63.0,0.00,0.00,0.00
GLLM5,2023-09-01,8:00 AM,81.0,63.0,0.00,0.00,0.00
IFSM5,2023-09-01,,,,,,
GBHM5,2023-09-01,7:00 AM,,,0.08,0.00,0.00
VCTM5,2023-09-01,,,,,,
DELM5,2023-09-01,6:00 AM,80.0,62.0,0.00,0.00,0.00
GBHM5,2023-09-02,7:00 AM,,,0.00,0.00,0.00
DELM5,2023-09-02,6:00 AM,89.0,65.0,0.00,0.00,0.00
GLLM5,2023-09-02,8:00 AM,87.0,65.0,0.00,0.00,0.00
IFSM5,2023-09-02,,,,,,
VCTM5,2023-09-02,,,,,,
CLGM5,2023-09-02,6:00 PM,82.0,68.0,0.00,0.00,0.00
BAUM5,2023-09-02,3:00 PM,92.0,68.0,0.00,0.00,0.00
TOHM5,2023-09-02,8:00 AM,81.0,53.0,0.00,0.00,0.00
DTRM5,2023-09-02,11:00 AM,89.0,61.0,0.00,0.00,0.00
GEOM5,2023-09-02,6:00 PM,94.0,60.0,0.00,0.00,0.00
FEDM5,2023-09-02,8:00 AM,88.0,61.0,0.00,0.00,0.00
GLWM5,2023-09-02,7:00 AM,87.0,62.0,0.00,0.00,0.00
GRPM5,2023-09-02,,,,,,
ORWM5,2023-09-02,,,,,,
AGGM5,2023-09-02,12:00 AM,94.0,50.0,0.00,,
COTM5,2023-09-02,8:00 AM,83.0,58.0,0.00,0.00,0.00
BJIM5,2023-09-02,7:00 AM,62.0,62.0,0.00,0.00,0.00
CRNM5,2023-09-02,8:00 AM,90.0,57.0,0.00,0.00,0.00
ILGM5,2023-09-02,,,,,,
ITAM5,2023-09-02,7:00 AM,88.0,59.0,0.00,0.00,0.00
GRBM5,2023-09-02,,,,,,
OTTM5,2023-09-02,5:00 AM,84.0,64.0,0.00,0.00,0.00
BRVM5,2023-09-02,7:00 AM,88.0,60.0,0.00,0.00,0.00
CLQM5,2023-09-02,8:00 AM,84.0,65.0,0.00,0.00,0.00
GDPM5,2023-09-02,7:00 AM,74.0,54.0,0.00,0.00,0.00
SEBM5,2023-09-02,7:00 AM,89.0,59.0,0.00,0.00,0.00
SILM5,2023-09-02,7:00 AM,,,0.00,0.00,0.00
SPTM5,2023-09-02,6:00 AM,85.0,60.0,0.00,0.00,0.00
HAWM5,2023-09-02,,,,0.00,,
BGFM5,2023-09-02,8:00 AM,91.0,64.0,,0.00,0.00
SATM5,2023-09-02,7:00 PM,83.0,66.0,0.00,0.00,0.00
WRIM5,2023-09-02,6:00 AM,83.0,58.0,0.00,0.00,0.00
ELKM5,2023-09-02,7:00 AM,86.0,69.0,0.00,0.00,0.00
CANM5,2023-09-02,8:00 AM,90.0,68.0,0.00,0.00,0.00
SDYM5,2023-09-02,8:00 AM,84.0,63.0,0.00,0.00,0.00
STJM5,2023-09-02,8:00 AM,87.0,60.0,0.00,0.00,0.00
MMLM5,2023-09-02,8:00 AM,91.0,66.0,0.00,0.00,0.00
BENM5,2023-09-02,7:00 AM,89.0,62.0,0.00,0.00,0.00
HOUM5,2023-09-02,,,,0.00,,
FRBM5,2023-09-02,6:00 AM,,,0.00,0.00,0.00
BRAM5,2023-09-02,7:00 AM,86.0,62.0,0.00,0.00,0.00
ERVM5,2023-09-02,6:00 AM,86.0,69.0,0.00,0.00,0.00
WSKM5,2023-09-02,8:00 AM,87.0,56.0,0.00,0.00,0.00
HENM5,2023-09-02,,,,0.00,,
GRDM5,2023-09-02,,,,0.00,,
LNCM5,2023-09-02,7:00 AM,,,0.00,0.00,0.00
HLLM5,2023-09-02,,87.0,60.0,0.00,0.00,0.00
PTNM5,2023-09-02,7:00 AM,86.0,60.0,0.00,0.00,0.00
WABM5,2023-09-02,6:00 AM,,,0.00,0.00,0.00
BNDM5,2023-09-02,9:00 AM,85.0,63.0,0.00,0.00,0.00
SPEM5,2023-09-02,7:00 AM,85.0,60.0,0.00,0.00,0.00
VADM5,2023-09-02,2:00 PM,91.0,74.0,0.00,0.00,0.00
TLRM5,2023-09-02,,,,,,
MLNM5,2023-09-02,5:00 PM,88.0,66.0,0.00,0.00,0.00
BSNM5,2023-09-02,8:00 AM,89.0,62.0,0.00,0.00,0.00
UMNM5,2023-09-02,8:00 AM,86.0,63.0,0.00,0.00,0.00
MWDM5,2023-09-02,7:00 AM,,,0.00,0.00,0.00
ADVM5,2023-09-02,5:00 AM,88.0,64.0,0.00,0.00,0.00
FORM5,2023-09-02,7:00 AM,89.0,63.0,0.00,0.00,0.00
BMBM5,2023-09-02,,,,,,
ADAM5,2023-09-02,6:00 AM,92.0,56.0,0.00,0.00,0.00
JDNM5,2023-09-02,4:00 AM,86.0,63.0,0.00,0.00,0.00
GRTM5,2023-09-02,11:00 PM,95.0,66.0,0.00,0.00,
LKWM5,2023-09-02,8:00 AM,91.0,70.0,0.00,0.00,0.00
CMBM5,2023-09-02,8:00 AM,89.0,63.0,0.00,0.00,0.00
TCYM5,2023-09-02,8:00 AM,89.0,62.0,0.00,0.00,0.00
BRCM5,2023-09-02,,,,,,
THRM5,2023-09-02,5:00 PM,92.0,59.0,0.00,0.00,0.00
LKBM5,2023-09-02,,,,,,
RLWM5,2023-09-02,7:00 AM,93.0,59.0,,0.00,0.00
ALVM5,2023-09-02,,,,0.00,,
RIAM5,2023-09-02,8:00 AM,90.0,62.0,0.00,0.00,0.00
HOKM5,2023-09-02,6:00 AM,,,0.00,0.00,0.00
SNDM5,2023-09-02,12:00 AM,84.0,64.0,0.00,,
ASTM5,2023-09-02,7:00 AM,87.0,61.0,0.00,0.00,0.00
BLHM5,2023-09-02,,,,,,
LSAM5,2023-09-02,6:00 AM,94.0,62.0,0.00,0.00,
ALXM5,2023-09-02,6:00 AM,,,0.00,0.00,
KIMM5,2023-09-02,6:00 AM,86.0,63.0,0.00,0.00,0.00
MPXM5,2023-09-02,11:00 PM,86.0,66.0,0.00,0.00,0.00
LNGM5,2023-09-02,6:00 AM,86.0,62.0,0.03,0.00,0.00
PRPM5,2023-09-02,7:00 AM,89.0,58.0,0.00,0.00,0.00
WALM5,2023-09-02,,,,,,
ELVM5,2023-09-02,7:00 AM,83.0,,0.00,0.00,0.00
DLNM5,2023-09-02,7:00 AM,89.0,65.0,0.00,0.00,0.00
ASNM5,2023-09-02,6:00 AM,87.0,61.0,0.00,0.00,0.00
DSLM5,2023-09-02,7:00 AM,89.0,64.0,0.00,0.00,0.00
NOHM5,2023-09-02,7:00 AM,86.0,56.0,0.00,0.00,0.00
WMRM5,2023-09-02,,,,,,
GMDM5,2023-09-02,5:00 AM,85.0,57.0,0.00,0.00,0.00
COKM5,2023-09-02,6:00 AM,86.0,61.0,0.00,0.00,0.00
BTHM5,2023-09-02,8:00 AM,,,0.00,0.00,0.00
JORM5,2023-09-02,5:00 AM,86.0,63.0,0.00,0.00,0.00
WASM5,2023-09-02,8:00 AM,87.0,62.0,0.00,0.00,0.00
CSLM5,2023-09-02,8:00 AM,91.0,60.0,0.00,0.00,0.00
WLDM5,2023-09-02,8:00 AM,88.0,63.0,0.28,0.00,0.00
GLDM5,2023-09-02,9:00 AM,87.0,65.0,0.00,0.00,0.00
TOWM5,2023-09-02,7:00 AM,82.0,50.0,0.00,0.00,0.00
AGAM5,2023-09-02,8:00 AM,94.0,56.0,0.00,0.00,0.00
WDOM5,2023-09-02,8:00 AM,86.0,64.0,0.00,0.00,0.00
BRMM5,2023-09-02,6:00 AM,82.0,54.0,0.00,0.00,0.00
ELYM5,2023-09-02,8:00 AM,82.0,60.0,0.00,0.00,0.00
ARTM5,2023-09-02,8:00 PM,85.0,66.0,0.00,0.00,0.00
SBNM5,2023-09-02,9:00 AM,90.0,61.0,0.00,0.00,0.00
MOOM5,2023-09-02,,,,,,
TWRM5,2023-09-02,,,,,,
BABM5,2023-09-02,,,,,,
HKHM5,2023-09-02,7:00 AM,,,,,
PELM5,2023-09-02,8:00 AM,,,0.00,0.00,0.00
CLDM5,2023-09-02,10:00 AM,85.0,52.0,0.00,0.00,0.00
PKGM5,2023-09-02,8:00 AM,92.0,63.0,0.00,0.00,0.00
LMBM5,2023-09-02,7:00 AM,89.0,64.0,0.00,0.00,0.00
NHPM5,2023-09-02,11:00 PM,88.0,70.0,0.00,0.00,0.00
LCHM5,2023-09-02,8:00 AM,85.0,64.0,0.00,0.00,0.00
NUMM5,2023-09-02,,,,,,
TWOM5,2023-09-02,7:00 PM,86.0,63.0,0.00,0.00,0.00
ORVM5,2023-09-02,7:00 AM,,,0.00,0.00,0.00
PRLM5,2023-09-02,7:00 AM,86.0,65.0,0.00,0.00,0.00
PIPM5,2023-09-02,8:00 AM,92.0,63.0,0.00,0.00,0.00
LUVM5,2023-09-02,6:00 AM,,,0.00,,
RHSM5,2023-09-02,7:00 AM,87.0,65.0,0.00,0.00,0.00
GMRM5,2023-09-02,8:00 AM,73.0,60.0,0.00,0.00,0.00
OSGM5,2023-09-02,7:00 AM,87.0,64.0,0.00,0.00,0.00
LAMM5,2023-09-02,8:00 AM,89.0,64.0,0.00,0.00,0.00
WNNM5,2023-09-02,8:00 AM,87.0,61.0,0.00,0.00,0.00
MRRM5,2023-09-02,8:00 AM,90.0,64.0,0.00,0.00,0.00
THFM5,2023-09-02,,,,,,
AXNM5,2023-09-02,,,,,,
RUDM5,2023-09-02,7:00 AM,86.0,53.0,0.00,0.00,0.00
BWNM5,2023-09-02,8:00 AM,87.0,59.0,0.00,0.00,0.00
CRLM5,2023-09-02,8:00 AM,86.0,65.0,0.00,0.00,0.00
NISM5,2023-09-02,,,,,,
WRUM5,2023-09-02,10:00 PM,85.0,61.0,0.00,0.00,0.00
WRNM5,2023-09-02,7:00 AM,96.0,66.0,0.00,0.00,0.00
NYMM5,2023-09-02,7:00 AM,85.0,61.0,0.00,0.00,0.00
WELM5,2023-09-02,8:00 AM,86.0,63.0,0.00,0.00,0.00
ONMM5,2023-09-02,8:00 AM,,,0.00,0.00,0.00
THLM5,2023-09-02,7:00 AM,,59.0,0.00,0.00,0.00
INDM5,2023-09-02,8:00 AM,86.0,52.0,0.00,0.00,0.00
WTSM5,2023-09-02,6:00 AM,,,0.00,0.00,0.00
RWGM5,2023-09-02,8:00 AM,,,0.00,0.00,0.00
LCRM5,2023-09-02,12:00 AM,83.0,60.0,0.00,0.00,0.00
DAWM5,2023-09-02,6:00 AM,,,0.00,0.00,0.00
DWSM5,2023-09-02,6:00 AM,,,0.00,0.00,0.00
RDWM5,2023-09-02,9:00 AM,89.0,59.0,0.00,0.00,0.00
ALTM5,2023-09-02,8:00 AM,,,0.00,0.00,0.00
FBTM5,2023-09-02,7:00 AM,,,0.00,0.00,0.00
MNNM5,2023-09-02,8:00 AM,,,0.00,0.00,0.00
KABM5,2023-09-02,8:00 AM,84.0,54.0,0.00,0.00,0.00
EGNM5,2023-09-02,7:00 AM,,,0.00,0.00,0.00
HLSM5,2023-09-02,,,,,,
ATKM5,2023-09-02,,,,,,
KLLM5,2023-09-02,,,,,,
EMBM5,2023-09-02,6:00 AM,84.0,49.0,0.00,0.00,0.00
ALBM5,2023-09-02,8:00 AM,86.0,59.0,0.00,0.00,0.00
MLCM5,2023-09-02,7:00 AM,86.0,61.0,0.24,0.00,0.00
TOGM5,2023-09-02,8:00 AM,85.0,53.0,0.00,0.00,0.00
SPGM5,2023-09-02,8:00 AM,,,0.00,0.00,0.00
LAKM5,2023-09-02,7:00 AM,,,0.00,0.00,0.00
MSCM5,2023-09-02,8:00 AM,85.0,62.0,0.00,0.00,0.00
HSTM5,2023-09-02,5:00 AM,89.0,61.0,0.00,0.00,0.00
WAAM5,2023-09-02,8:00 AM,95.0,59.0,0.00,0.00,0.00
BDIM5,2023-09-02,7:00 AM,,,0.00,0.00,0.00
TETM5,2023-09-02,8:00 AM,,,,0.00,0.00
MHNM5,2023-09-02,,,,,,
MABM5,2023-09-02,7:00 AM,83.0,53.0,0.00,0.00,0.00
ZMPM5,2023-09-02,,,,,,
MRAM5,2023-09-02,7:00 AM,85.0,62.0,0.02,0.00,0.00
SHRM5,2023-09-02,8:00 AM,86.0,60.0,0.00,0.00,0.00
MADM5,2023-09-02,8:00 AM,87.0,63.0,0.00,0.00,0.00
OWAM5,2023-09-02,8:00 AM,87.0,60.0,0.00,0.00,0.00
BRUM5,2023-09-02,8:00 AM,83.0,61.0,0.00,0.00,0.00
WSBM5,2023-09-02,7:00 AM,,,0.00,0.00,0.00
BKEM5,2023-09-02,,,,,,
MIAM5,2023-09-02,6:00 PM,88.0,66.0,0.00,0.00,0.00
WRSM5,2023-09-02,8:00 AM,,,0.00,0.00,0.00
AITM5,2023-09-02,,,,,,
GNFM5,2023-09-02,8:00 AM,84.0,61.0,0.00,0.00,0.00
RSMM5,2023-09-02,8:00 AM,89.0,63.0,0.00,0.00,0.00
FLDM5,2023-09-02,7:00 AM,83.0,61.0,0.00,0.00,0.00
MLRM5,2023-09-02,7:00 AM,,,0.00,0.00,0.00
STIM5,2023-09-02,8:00 AM,88.0,63.0,0.00,0.00,0.00
WLFM5,2023-09-02,8:00 AM,80.0,59.0,0.00,0.00,0.00
ISEM5,2023-09-02,,,,,,
WIDM5,2023-09-02,8:00 AM,86.0,61.0,0.00,0.00,0.00
RCEM5,2023-09-02,5:00 AM,88.0,63.0,0.07,0.00,0.00
LEIM5,2023-09-02,6:00 AM,84.0,56.0,0.00,0.00,0.00
RSRM5,2023-09-02,7:00 AM,,,0.00,0.00,0.00
WHTM5,2023-09-02,8:00 AM,87.0,65.0,0.00,0.00,0.00
LKFM5,2023-09-02,7:00 AM,86.0,63.0,0.00,0.00,0.00
LEIM5,2023-09-03,6:00 AM,90.0,55.0,0.00,0.00,0.00
RCEM5,2023-09-03,6:00 AM,88.0,67.0,0.00,0.00,0.00
WHTM5,2023-09-03,8:00 AM,86.0,69.0,0.00,0.00,0.00
LKFM5,2023-09-03,7:00 AM,95.0,66.0,0.00,0.00,0.00
RSRM5,2023-09-03,7:00 AM,,,0.00,0.00,0.00
WIDM5,2023-09-03,8:00 AM,96.0,67.0,0.00,0.00,0.00
WSBM5,2023-09-03,7:00 AM,,,0.00,0.00,0.00
BRUM5,2023-09-03,8:00 AM,87.0,67.0,0.00,0.00,0.00
TETM5,2023-09-03,8:00 AM,,,,0.00,0.00
HSTM5,2023-09-03,5:00 AM,89.0,69.0,0.00,0.00,0.00
BDIM5,2023-09-03,7:00 AM,,,0.00,0.00,0.00
WAAM5,2023-09-03,8:00 AM,92.0,63.0,0.00,0.00,0.00
MABM5,2023-09-03,7:00 AM,93.0,63.0,0.00,0.00,0.00
MSCM5,2023-09-03,8:00 AM,95.0,66.0,0.00,0.00,0.00
MHNM5,2023-09-03,,,,,,
SHRM5,2023-09-03,8:00 AM,94.0,64.0,0.00,0.00,0.00
MRAM5,2023-09-03,7:00 AM,84.0,67.0,0.00,0.00,0.00
